Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW200105_162426,C01:IMRPhenomXPHM,3.61881,9.07869,1.9363,273.58009,0.05917,3.00093,0.05471,0.16041,0.4798,1.55713,1.5993,3.13296,3.20138,1.55688,1.6557,4.55703,13.63168
GW200105_162426,C01:IMRPhenomXPHM,3.61881,9.07869,1.9363,273.58009,0.05917,3.00093,0.05471,0.16041,0.4798,1.55713,1.5993,3.13296,3.20138,1.55688,1.6557,4.55703,13.63168
GW200105_162426,C01:IMRPhenomXPHM,3.61881,9.07869,1.9363,273.58009,0.05917,3.00093,0.05471,0.16041,0.4798,1.55713,1.5993,3.13296,3.20138,1.55688,1.6557,4.55703,13.63168
GW200105_162426,C01:IMRPhenomXPHM,3.61881,9.07869,1.9363,273.58009,0.05917,3.00093,0.05471,0.16041,0.4798,1.55713,1.5993,3.13296,3.20138,1.55688,1.6557,4.55703,13.63168
GW200105_162426,C01:IMRPhenomXPHM,3.61881,9.07869,1.9363,273.58009,0.05917,3.00093,0.05471,0.16041,0.4798,1.55713,1.5993,3.13296,3.20138,1.55688,1.6557,4.55703,13.63168
GW200219_094415,C01:IMRPhenomXPHM,43.83675,36.84333,27.05927,3809.82837,0.62005,1.06139,-0.2059,0.45657,0.47963,1.79209,1.71212,3.13128,3.26589,1.39303,1.58865,3.67535,10.64861
GW200219_094415,C01:IMRPhenomXPHM,43.83675,36.84333,27.05927,3809.82837,0.62005,1.06139,-0.2059,0.45657,0.47963,1.79209,1.71212,3.13128,3.26589,1.39303,1.58865,3.67535,10.64861
GW200219_094415,C01:IMRPhenomXPHM,43.83675,36.84333,27.05927,3809.82837,0.62005,1.06139,-0.2059,0.45657,0.47963,1.79209,1.71212,3.13128,3.26589,1.39303,1.58865,3.67535,10.64861
GW191216_213338,C01:IMRPhenomXPHM,8.93836,13.33432,7.34248,339.74161,0.07281,5.55101,0.37558,0.30608,0.45235,1.02467,1.31435,3.16016,3.25717,2.54046,1.48309,2.75223,18.55061
GW191216_213338,C01:IMRPhenomXPHM,8.93836,13.33432,7.34248,339.74161,0.07281,5.55101,0.37558,0.30608,0.45235,1.02467,1.31435,3.16016,3.25717,2.54046,1.48309,2.75223,18.55061
