Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW170104_101158,C01:IMRPhenomXPHM,25.66628,29.46395,20.43706,1109.83659,0.21672,2.62613,0.46243,0.39454,0.43114,1.6838,1.6509,3.17025,2.99936,1.45653,1.53508,2.95664,13.82377
GW190403_051519,C01:IMRPhenomXPHM,83.11467,75.27784,23.45324,11024.34925,1.46925,4.09304,-0.01576,0.88735,0.57637,0.45358,1.18357,3.14479,3.12346,1.50026,1.56005,3.14163,7.42176
GW190426_190642,C01:IMRPhenomXPHM,134.68701,104.23579,69.50483,5889.44595,0.88259,1.72605,-0.0629,0.65491,0.54716,1.02007,1.27307,3.14634,3.20612,1.9181,1.52953,3.15027,8.68728
GW190630_185205,C01:IMRPhenomXPHM,29.46064,34.77387,24.07131,938.40109,0.18596,4.78308,-0.07511,0.28298,0.4236,1.3098,1.27508,3.10012,3.1234,1.40725,1.623,4.17443,16.33238
GW190517_055101,C01:IMRPhenomXPHM,34.99593,39.92177,22.8329,2082.14446,0.37094,4.29619,-0.49123,0.87656,0.58945,0.70033,1.36564,3.14442,3.09426,2.06475,1.34532,3.0103,10.64296
GW190602_175927,C01:IMRPhenomXPHM,73.75909,70.13861,44.01981,3391.11462,0.56213,1.334,-0.36334,0.50094,0.51497,1.25707,1.34293,3.15529,3.23479,1.81299,1.60208,3.19194,13.16231
GW150914_095045,C01:IMRPhenomXPHM,30.41389,35.24386,29.01206,460.64764,0.09712,1.77564,-1.18781,0.45252,0.42788,1.67671,1.74661,3.08394,2.68865,2.64791,1.49559,3.15308,26.00092
GW190925_232845,C01:IMRPhenomXPHM,18.52757,21.88449,15.19585,944.95461,0.18773,3.37483,-0.17545,0.37857,0.44085,1.33694,1.3789,3.13495,3.23502,1.02656,1.48598,3.26116,9.62791
GW190513_205428,C01:IMRPhenomXPHM,30.4762,35.944,18.22142,2313.96213,0.41002,2.03834,0.43039,0.43996,0.46951,1.13603,1.39971,3.17361,3.11511,1.13161,1.64957,3.72903,12.50232
GW190521_074359,C01:IMRPhenomXPHM,39.19726,43.74032,33.03105,977.88415,0.19316,4.91051,0.24632,0.27622,0.39334,1.50926,1.22496,3.05433,3.12909,1.52067,1.46828,2.76754,25.91165
GW190924_021846,C01:IMRPhenomXPHM,6.44026,10.04734,4.7767,551.32081,0.11472,2.31802,0.1602,0.32585,0.43255,1.33585,1.48031,3.1508,3.1538,1.01729,1.34744,2.53918,12.00819
GW190521_030229,C01:IMRPhenomXPHM,107.0626,92.94949,59.08553,4418.14436,0.6972,3.73014,0.03192,0.54475,0.51156,1.65802,1.45574,3.18573,3.18578,1.39808,1.59876,3.59449,14.27682
GW170809_082821,C01:IMRPhenomXPHM,30.13924,34.68324,23.93469,1108.57945,0.21691,0.298,-0.47877,0.44804,0.44785,1.35169,1.43859,3.16151,3.90474,2.61289,1.64424,3.23574,12.7682
GW190828_065509,C01:IMRPhenomXPHM,17.32825,23.43063,10.59861,1646.90122,0.30616,2.68893,-0.61861,0.30354,0.45847,1.37541,1.44064,3.14552,3.18013,1.657,1.43726,2.78064,10.18325
GW190708_232457,C01:IMRPhenomXPHM,15.48073,18.25335,12.63699,947.96952,0.18833,3.15462,0.29877,0.32394,0.3901,1.47748,1.49784,3.1329,3.14139,1.5101,1.60097,3.25482,13.37642
GW151012_095443,C01:IMRPhenomXPHM,18.8982,26.20312,13.36184,1078.26474,0.21047,2.83163,0.01902,0.42587,0.46638,1.22588,1.40388,3.14152,3.14881,1.61438,1.54364,3.08867,9.21948
GW170823_131358,C01:IMRPhenomXPHM,39.06775,38.51174,28.25013,2101.98564,0.37739,3.19572,-0.07821,0.49701,0.47083,1.40945,1.48798,3.14639,3.03127,1.5859,1.56819,2.79786,12.16001
GW190519_153544,C01:IMRPhenomXPHM,64.11916,62.05972,38.75845,3174.95436,0.53178,3.58739,0.29675,0.60703,0.59221,0.8977,1.11547,3.13998,3.13443,1.61305,1.49119,2.78544,15.85584
GW190421_213856,C01:IMRPhenomXPHM,46.24172,41.48265,30.96351,2971.89993,0.50427,3.34699,-0.79111,0.44672,0.47009,1.76431,1.76746,3.1422,2.98829,1.71553,1.59453,3.07228,10.6915
GW190527_092055,C01:IMRPhenomXPHM,41.34294,40.56116,23.13957,3631.69542,0.58871,3.99897,-0.40679,0.51076,0.49363,1.29544,1.43141,3.13938,3.12765,1.33976,1.55392,3.14285,7.7745
GW190910_112807,C01:IMRPhenomXPHM,43.39107,42.66628,32.8707,1892.7113,0.3441,2.25077,0.12866,0.3864,0.41494,1.53903,1.65635,3.07228,3.09491,1.62393,1.52719,2.09084,14.41666
GW170608_020116,C01:IMRPhenomXPHM,8.49755,11.41966,7.55549,335.63675,0.07197,2.01182,0.64527,0.36884,0.39351,1.35029,1.46502,3.15278,3.15512,1.96333,1.55294,2.67789,15.32053
GW190727_060333,C01:IMRPhenomXPHM,44.82799,38.88979,29.29552,3241.60723,0.54379,4.36685,-0.06494,0.53053,0.48478,1.33558,1.46751,3.17109,3.09707,1.70318,1.5402,3.11287,11.63364
GW190706_222641,C01:IMRPhenomXPHM,74.95394,71.11637,38.16448,4486.37394,0.70654,3.43997,0.08914,0.71132,0.5342,0.96297,1.3099,3.16612,3.27392,1.63252,1.58679,2.8264,13.39857
GW190707_093326,C01:IMRPhenomXPHM,9.88673,11.76459,8.25789,832.68477,0.16735,3.69213,-0.09948,0.27864,0.42626,1.72368,1.73981,3.1403,3.1516,1.72734,1.55955,3.27695,13.08484
GW190408_181802,C01:IMRPhenomXPHM,23.76809,25.26164,18.1215,1547.5981,0.29062,5.03853,0.78194,0.33931,0.41678,1.68699,1.62718,3.15009,3.06874,1.51643,1.53683,3.27705,14.62348
GW190413_052954,C01:IMRPhenomXPHM,39.47976,33.64116,23.78837,3880.08225,0.62897,1.65322,-0.15365,0.44503,0.46599,1.55879,1.61813,3.14512,3.21162,1.1902,1.5509,3.12397,8.88175
GW170729_185629,C01:IMRPhenomXPHM,50.97525,52.32118,30.71325,2895.6213,0.49231,4.847,-0.72106,0.60492,0.48897,0.86952,1.39528,3.0789,3.20014,1.43701,1.62915,3.11989,10.61825
GW190620_030421,C01:IMRPhenomXPHM,57.19601,57.59728,32.32154,3441.90902,0.56985,3.71257,0.38512,0.67878,0.5354,0.90053,1.24904,3.14655,3.12244,1.83884,1.52038,3.07532,12.0167
GW190512_180714,C01:IMRPhenomXPHM,18.5872,23.55846,12.35571,1506.40629,0.28372,4.32795,-0.38878,0.30237,0.46384,1.48366,1.46452,3.137,3.09897,1.61656,1.60953,3.75794,12.65923
GW190719_215514,C01:IMRPhenomXPHM,42.53011,40.0441,20.09208,5272.16459,0.80094,3.34596,0.13333,0.61618,0.5222,0.93615,1.28374,3.13447,3.11411,1.57669,1.57692,3.13573,7.75926
GW190503_185404,C01:IMRPhenomXPHM,37.82883,41.84498,27.63577,1598.63276,0.2984,1.65516,-0.88426,0.43922,0.45951,1.7436,1.58323,3.13784,2.90317,2.54667,1.52772,2.80236,12.11603
GW190725_174728,C01:IMRPhenomXPHM,8.96482,13.04103,6.21425,1102.21241,0.21506,4.30943,-0.04968,0.39324,0.49206,1.52861,1.65797,3.14021,3.16943,1.35421,1.62213,3.22422,9.07114
GW190720_000836,C01:IMRPhenomXPHM,10.36022,14.51254,7.70947,813.28318,0.16372,5.02166,0.55013,0.41158,0.48554,1.08045,1.22083,3.14177,2.92082,2.52645,1.58547,3.44888,10.82804
GW190412_053044,C01:IMRPhenomXPHM,15.23649,30.14292,8.46744,695.89934,0.1425,3.79698,0.62241,0.35994,0.50741,0.61804,1.38384,3.35816,2.02838,0.86167,2.44687,2.10849,19.76049
GW190814_211039,C01:IMRPhenomXPHM,6.41739,23.31722,2.59306,232.77353,0.05075,0.24278,-0.44928,0.03998,0.48087,1.55622,1.46979,3.12495,2.72507,1.03768,0.64228,2.95312,25.23664
GW190803_022701,C01:IMRPhenomXPHM,43.23697,37.16145,27.00676,3600.72241,0.59198,2.33538,0.52464,0.43881,0.45754,1.56908,1.58733,3.11051,3.23767,1.30766,1.5712,3.21453,9.22767
GW190915_235702,C01:IMRPhenomXPHM,32.35977,32.34884,24.10463,1890.32636,0.34513,3.37108,0.70475,0.51052,0.48707,1.57278,1.70447,3.20741,3.36805,1.59244,1.49179,3.48821,13.06363
GW190930_133541,C01:IMRPhenomXPHM,9.8362,13.88385,7.51192,789.464,0.15951,4.8416,0.68297,0.41859,0.47448,1.12017,1.30104,3.1372,3.1576,0.96673,1.59819,3.08651,9.63555
GW190926_050336,C01:IMRPhenomXPHM,43.22145,39.40361,21.80428,4864.45117,0.7502,3.86379,-0.06823,0.45718,0.48727,1.57789,1.63407,3.14556,3.12359,1.65295,1.59221,3.10611,7.93321
GW151226_033853,C01:IMRPhenomXPHM,9.71178,15.51936,7.38082,463.5871,0.0976,2.63251,-0.05679,0.59557,0.46563,1.01651,1.44148,3.13047,3.08928,1.42683,1.5533,2.5567,12.7259
GW190728_064510,C01:IMRPhenomXPHM,10.14926,14.23546,7.59129,875.77335,0.17534,5.0459,0.06908,0.39167,0.45432,1.07651,1.2927,3.15009,3.20458,1.38597,1.71084,3.44042,13.08908
GW190916_200658,C01:IMRPhenomXPHM,52.76505,42.61325,24.04598,6538.02583,0.96041,2.89825,-0.03138,0.55696,0.51876,0.99442,1.2621,3.13838,3.14088,1.57027,1.57553,3.14689,7.99608
GW190701_203306,C01:IMRPhenomXPHM,55.62625,54.11291,39.54343,2226.6203,0.39699,0.66137,-0.12073,0.45993,0.47402,1.79141,1.72137,3.14816,2.77718,0.57158,1.55736,3.13943,11.19518
GW190805_211137,C01:IMRPhenomXPHM,62.64268,43.33587,28.6215,7726.66877,1.10316,4.4786,-0.12691,0.74886,0.58181,0.7832,1.19572,3.1494,3.21673,1.23384,1.60018,3.1324,8.02043
GW190917_114630,C01:IMRPhenomXPHM,4.21056,9.52256,2.16725,742.76664,0.15083,3.03905,-0.03821,0.31253,0.48931,1.88954,1.73547,3.1379,3.11433,1.50555,1.56419,2.94695,8.21636
GW170814_103043,C01:IMRPhenomXPHM,26.84489,31.11445,24.54171,590.45667,0.12235,0.80469,-0.76571,0.37383,0.43585,1.32541,1.51499,3.06869,2.68259,0.87835,1.50865,2.31841,17.68164
GW190929_012149,C01:IMRPhenomXPHM,58.09571,63.87612,27.9981,4031.51925,0.64658,3.42066,0.01976,0.38628,0.48058,1.64652,1.63196,3.15543,3.16896,1.52042,1.60037,3.26987,9.61577
GW190828_063405,C01:IMRPhenomXPHM,33.94756,31.84135,25.3612,2133.01153,0.38273,3.04865,-0.28371,0.4644,0.43883,1.13787,1.3334,3.03886,3.08825,2.06418,1.42576,3.39984,16.46227
GW190413_134308,C01:IMRPhenomXPHM,56.75611,48.99171,30.62091,4632.56645,0.72695,2.79561,-0.42644,0.53017,0.48877,1.53432,1.53329,3.14705,3.16464,1.68339,1.54214,3.12611,10.47704
GW190731_140936,C01:IMRPhenomXPHM,46.94761,39.6333,27.68839,4144.39164,0.66235,2.2966,-0.48046,0.42286,0.4651,1.38204,1.44281,3.15106,3.13016,1.50737,1.58053,3.15986,8.72597
GW190514_065416,C01:IMRPhenomXPHM,49.0341,39.47249,27.4819,4838.33516,0.75237,3.23295,0.5062,0.47113,0.47994,1.73628,1.69712,3.13663,3.14818,1.54021,1.62262,3.13575,7.93099
GW170818_022509,C01:IMRPhenomXPHM,32.88536,35.16501,27.2788,1175.99532,0.22831,5.95387,0.37297,0.52715,0.50902,1.59531,1.70605,3.13648,4.31043,2.48917,1.56238,2.78206,11.96456
